1,"Direct experience of that transcending mystery and wonder, affirmed in all cultures, which moves us to a renewal of the spirit and an openness to the forces which create and uphold life."
2,"Words and deeds of prophetic people which challenge us to confront powers and structures of evil with justice, compassion, and the transforming power of love."
3,"Wisdom from the world's religions which inspires us in our ethical and spiritual life."
4,"Jewish and Christian teachings which call us to respond to God's love by loving our neighbors as ourselves."
5,"Humanist teachings which counsel us to heed the guidance of reason and the results of science, and warn us against idolatries of the mind and spirit."
6,"Spiritual teachings of Earth-centered traditions which celebrate the sacred circle of life and instruct us to live in harmony with the rhythms of nature."
